ORF	gene	hmm_call	custom_call	biotradis_call	gumbel_call
MB0599	 -	NE	NE	NE	U
MB0600C	 -	NE	NE	NE	U
MB0601	 -	NE	NE	NE	U
MB0602	 yrbE2A	NE	NE	NE	U
MB0603	 yrbE2B	NE	NE	NE	NE
MB0604	 mce2A	NE	NE	NE	U
MB0605	 mce2B	NE	AMB	NE	NE
MB0606	 mce2C	NE	NE	NE	NE
MB0607	 mce2Da	NE	NE	NE	S
MB0608	 mce2Db	NE	AMB	NE	NE
MB0609	 lprL	NE	NE	NE	NE
MB0610	 mce2F	NE	NE	NE	NE
MB0611C	 -	NE	NE	NE	NE
MB0612C	 -	NE	NE	NE	NE
MB0613C	 -	NE	NE	NE	NE
MB0614C	 -	NE	NE	NE	NE
MB0615C	 -	NE	NE	NE	NE
MB0616C	 -	NE	NE	NE	NE
MB0617C	 -	NE	ES	NE	NE
MB0618C	 tcrA	NE	NE	NE	S
MB0619	 -	NE	NE	NE	NE
MB0620	 lpqO	NE	NE	NE	NE
MB0621	 -	NE	NE	NE	NE
MB0622	 -	NE	NE	NE	NE
MB0623	 -	NE	NE	NE	S
MB0624	 -	NE	NE	NE	NE
MB0625	 -	NE	NE	NE	S
MB0626	 -	NE	AMB	NE	S
MB0626CA	NA	NA	NE	NE	NA
